Chn,dec,id,Time,t,B0,B0,B0,,C0,,,,,,,
263,355,163,27626.7031,0.15249,-179,,,,-163,,,,-159,,,
264,1381,565,27626.70353,0.15292,-1205,,,,-1189,,,,-1185,,,
265,355,163,27626.70515,0.15454,-179,,,,-163,,,,-159,,,
266,196,000000C4,27626.70557,0.15496,-20,,,,-4,,,,0,0,,
267,144,90,27626.70583,0.15522,32,,,,48,,,,52,,,
268,152,98,27626.70609,0.15548,24,,,,40,,,,44,,,
269,178,000000B2,27626.70634,0.15573,-2,,,,14,,,,18,,,
270,560,230,27626.7066,0.15599,-384,,,,-368,,,,-364,,,
271,803,323,27626.70677,0.15616,-627,,,,-611,,,,-607,,,
272,1280,500,27626.70702,0.15641,-1104,,,,-1088,,,,-1084,,,
273,1381,565,27626.70728,0.15667,-1205,,,,-1189,,,,-1185,,,
274,355,163,27626.70754,0.15693,-179,,,,-163,,,,-159,,,
275,1381,565,27626.70796,0.15735,-1205,,,,-1189,,,,-1185,,,
276,355,163,27626.70924,0.15863,-179,,,,-163,,,,-159,,,
277,1381,565,27626.70967,0.15906,-1205,,,,-1189,,,,-1185,,,
278,355,163,27626.71129,0.16068,-179,,,,-163,,,,-159,,,
279,1381,565,27626.71172,0.16111,-1205,,,,-1189,,,,-1185,,,
280,355,163,27626.71334,0.16273,-179,,,,-163,,,,-159,,,
281,1381,565,27626.71377,0.16316,-1205,,,,-1189,,,,-1185,,,
282,355,163,27626.71539,0.16478,-179,,,,-163,,,,-159,,,
283,144,90,27626.71564,0.16503,32,,,,48,,,,52,,,
284,152,98,27626.7159,0.16529,24,,,,40,,,,44,,,
285,178,000000B2,27626.71607,0.16546,-2,,,,14,,,,18,,,
286,196,000000C4,27626.71633,0.16572,-20,,,,-4,,,,0,3,20,0.15
287,560,230,27626.71658,0.16597,-384,,,,-368,,,,-364,,,
288,803,323,27626.71684,0.16623,-627,,,,-611,,,,-607,,,
289,1280,500,27626.71709,0.16648,-1104,,,,-1088,,,,-1084,,,
290,1381,565,27626.71735,0.16674,-1205,,,,-1189,,,,-1185,,,
291,355,163,27626.71769,0.16708,-179,,,,-163,,,,-159,,,
292,1381,565,27626.71812,0.16751,-1205,,,,-1189,,,,-1185,,,
293,355,163,27626.71948,0.16887,-179,,,,-163,,,,-159,,,
294,1381,565,27626.71982,0.16921,-1205,,,,-1189,,,,-1185,,,
295,355,163,27626.72145,0.17084,-179,,,,-163,,,,-159,,,
296,1381,565,27626.72187,0.17126,-1205,,,,-1189,,,,-1185,,,
297,355,163,27626.72349,0.17288,-179,,,,-163,,,,-159,,,
298,1381,565,27626.72392,0.17331,-1205,,,,-1189,,,,-1185,,,
299,163,000000A3,27626.72554,0.17493,13,,,,29,,,,33,,,
300,144,90,27626.7258,0.17519,32,,,,48,,,,52,,,
301,152,98,27626.72605,0.17544,24,,,,40,,,,44,,,
302,178,000000B2,27626.72631,0.1757,-2,,,,14,,,,18,,,
303,179,000000B3,27626.72657,0.17596,-3,,,,13,,,,17,,,
304,355,163,27626.72682,0.17621,-179,,,,-163,,,,-159,,,
305,560,230,27626.72708,0.17647,-384,,,,-368,,,,-364,,,
306,803,323,27626.72725,0.17664,-627,,,,-611,,,,-607,,,
307,1280,500,27626.7275,0.17689,-1104,,,,-1088,,,,-1084,,,
308,1381,565,27626.72776,0.17715,-1205,,,,-1189,,,,-1185,,,
309,355,163,27626.72836,0.17775,-179,,,,-163,,,,-159,,,
310,1381,565,27626.72878,0.17817,-1205,,,,-1189,,,,-1185,,,
311,355,163,27626.72964,0.17903,-179,,,,-163,,,,-159,,,
312,1381,565,27626.73006,0.17945,-1205,,,,-1189,,,,-1185,,,
313,355,163,27626.73169,0.18108,-179,,,,-163,,,,-159,,,
314,1381,565,27626.73211,0.1815,-1205,,,,-1189,,,,-1185,,,
315,355,163,27626.73373,0.18312,-179,,,,-163,,,,-159,,,
316,1381,565,27626.73407,0.18346,-1205,,,,-1189,,,,-1185,,,
317,163,000000A3,27626.73553,0.18492,13,,,,29,,,,33,,,
318,144,90,27626.73578,0.18517,32,,,,48,,,,52,,,
319,152,98,27626.73604,0.18543,24,,,,40,,,,44,,,
320,178,000000B2,27626.73629,0.18568,-2,,,,14,,,,18,,,
321,179,000000B3,27626.73655,0.18594,-3,,,,13,,,,17,,,
