,Chn,Identifier,Flg,DLC,D0,1,2,3,4,5,6,D7,Time,Dir
,0,00000500,,8,64,00,00,00,00,00,00,00,,27323.313660,R
,0,00000565,,8,00,00,00,00,00,01,0E,47,,27323.313910,R
,0,00000163,,8,00,00,00,00,00,01,0E,48,,27323.315190,R
,0,00000565,,8,00,00,00,00,00,01,0E,48,,27323.315620,R
,0,00000163,,8,00,00,00,00,00,01,0E,49,,27323.317240,R
,0,00000565,,8,00,00,00,00,00,01,0E,49,,27323.317670,R
,0,00000163,,8,00,00,00,00,00,01,0E,4A,,27323.319290,R
,0,00000565,,8,00,00,00,00,00,01,0E,4A,,27323.319630,R
,0,00000163,,8,00,00,00,00,00,01,0E,4B,,27323.321340,R
,0,00000565,,8,00,00,00,00,00,01,0E,4B,,27323.321680,R
,0,00000090,,8,64,00,00,00,00,00,00,00,,27323.321940,R
,0,00000098,,8,64,00,00,00,00,00,00,00,,27323.322190,R
,0,000000B2,,8,64,00,00,00,00,00,00,00,,27323.322450,R
,0,00000230,,8,64,00,00,00,00,00,00,00,,27323.322700,R
,0,00000323,,8,64,00,00,00,00,00,00,00,,27323.322960,R
,0,00000500,,8,64,00,00,00,00,00,00,00,,27323.323220,R
,0,00000163,,8,00,00,00,00,00,01,0E,4C,,27323.323390,R
,0,00000565,,8,00,00,00,00,00,01,0E,4C,,27323.323810,R
,0,00000163,,8,00,00,00,00,00,01,0E,4D,,27323.325350,R
,0,00000565,,8,00,00,00,00,00,01,0E,4D,,27323.325780,R
,0,00000163,,8,00,00,00,00,00,01,0E,4E,,27323.327400,R
,0,00000565,,8,00,00,00,00,00,01,0E,4E,,27323.327820,R
,0,00000163,,8,00,00,00,00,00,01,0E,4F,,27323.329450,R
,0,00000565,,8,00,00,00,00,00,01,0E,4F,,27323.329870,R
,0,00000163,,8,00,00,00,00,00,01,0E,50,,27323.331490,R
,0,00000565,,8,00,00,00,00,00,01,0E,50,,27323.331920,R
,0,00000090,,8,64,00,00,00,00,00,00,00,,27323.332180,R
,0,00000098,,8,64,00,00,00,00,00,00,00,,27323.332350,R
,0,000000B2,,8,64,00,00,00,00,00,00,00,,27323.332600,R
,0,00000230,,8,64,00,00,00,00,00,00,00,,27323.332860,R
